detect_id,lat,lon,confidence,matched_mmsi,match_confidence,time_gap_minutes,distance_meters,position_score,heading_score,size_score,speed_score,type_score,temporal_score,is_dark_ship,is_ambiguous
22,37.27861199820698,-76.56861402816233,0.8461451530456543,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
23,36.96796241435479,-76.16703646970689,0.8451828360557556,UNKNOWN,0.0,0.38333333333333336,5277.349050788247,0.001641193143804327,0.5,0.845756711671921,0.7223846126125069,1.0,0.9873035114245453,True,False
24,35.961977368901294,-76.5949242532829,0.8432983160018921,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
25,37.27257062462211,-76.14146034742171,0.8408948183059692,636021288,0.7439970306820747,0.45,11.21732089771541,0.986230023118926,0.5,0.5182762367152638,0.8659417711129836,0.2,0.9851119396030626,False,False
26,37.31547574821517,-77.22264096784988,0.8400010466575623,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
27,36.99411288532394,-76.35862884979743,0.8391209840774536,UNKNOWN,0.0,0.0,8988.170442498544,1.3201064956240972e-05,0.12873490358780423,0.5881827270794141,0.48405946245558346,1.0,1.0,True,False
28,37.119587333261656,-76.64394373985172,0.8384786248207092,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
29,37.243717922174696,-76.45396304417577,0.8381476998329163,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
30,37.29261859450665,-76.58476039785594,0.8366348743438721,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
31,37.24654874974725,-76.15004219442802,0.8345139622688293,636015986,0.7386326199937745,1.2333333333333334,23.722379063986544,0.9716437816260861,0.5,0.5286550818243368,0.8625796656890539,0.2,0.9597224881913453,False,False
32,37.50939594693028,-76.3261554192444,0.834276020526886,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
33,36.7327713356686,-75.62904764888566,0.8258618712425232,311000760,0.730570176858015,1.1166666666666667,20.39289028351732,0.9758303054766547,0.5,0.4755589577552844,0.8695316267182293,0.2,0.9634620088894637,False,False
34,36.947629190674,-76.40471026140155,0.8242870569229126,UNKNOWN,0.0,77.35,12496.510367436913,0.004870974931663871,0.13309838775807187,0.47836342557272965,0.4256356171420861,0.2,0.07590039932971446,True,False
35,37.48244952624179,-76.06271433090535,0.8236450552940369,UNKNOWN,0.0,37.4,8868.327410401798,0.054291936085824,0.7125616182039599,0.0,0.5710218430615638,1.0,0.2874614063130629,True,False
36,36.99045930524042,-76.10304440263192,0.8217024803161621,UNKNOWN,0.0,0.0,7202.346562693209,0.00012304834840453792,0.8703247258333905,0.5912528325033374,0.5619178348918263,1.0,1.0,True,False
37,36.95064304423753,-76.36220560508862,0.8212136626243591,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
38,36.59858029931336,-75.55046419092004,0.8206980228424072,UNKNOWN,0.0,0.0,8469.508203110665,2.5244929005228862e-05,0.027172344871862545,0.0,0.49547283923176955,1.0,1.0,True,False
39,36.93843947137625,-76.43545295125783,0.816792368888855,UNKNOWN,0.0,77.35,9974.736552671895,0.014264315637326082,0.13309838775807187,0.4707943586686366,0.434207371024372,0.2,0.07590039932971446,True,False
41,37.088895443268015,-75.98732574295838,0.8105407357215881,UNKNOWN,0.0,0.3,9281.142883992814,9.978621405596318e-06,0.5899144351448397,0.5371859650141292,0.25717956231822225,0.2,0.9900498337491681,True,False
42,35.94936255345793,-76.59924326425505,0.8095858693122864,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
43,36.95733213927099,-76.39158581190344,0.8050805330276489,UNKNOWN,0.0,77.35,13593.765641192604,0.0030519482105566733,0.13309838775807187,0.541565709061328,0.3850511556410572,0.2,0.07590039932971446,True,False
44,37.27723347844419,-76.56374884247336,0.8035416007041931,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
45,36.98099136215497,-76.31756046788443,0.8024853467941284,UNKNOWN,0.0,0.0,5757.168729652544,0.0007492327222708054,0.12873490358780423,0.5537081542123533,0.4697240142110288,1.0,1.0,True,False
46,37.18337717277268,-76.63051211214426,0.8011980652809143,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
47,37.19554114877119,-76.11282372346267,0.8011773228645325,232045875,0.7508849114013116,1.0666666666666667,3.301883405781693,0.995987919735665,0.5,0.529690526775988,0.8829818226236391,0.2,0.9650691177896804,False,False
48,36.09049989496691,-75.75619969738958,0.7933170795440674,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
49,37.21201969114713,-76.09815105092366,0.792198121547699,209877000,0.7353083848461339,0.0,32.82965450794176,0.9597935515315198,0.5,0.5205674300412092,0.8727747822528406,0.2,1.0,False,False
